product_id,name,category,subcategory,price
1,Smartphones Product 1,Electronics,Smartphones,1035.99
2,Smartphones Product 2,Electronics,Smartphones,671.29
3,Cameras Product 3,Electronics,Cameras,815.82
4,Tablets Product 4,Electronics,Tablets,1666.3
5,Smartphones Product 5,Electronics,Smartphones,1724.69
6,Laptops Product 6,Electronics,Laptops,1774.53
7,Headphones Product 7,Electronics,Headphones,1724.59
8,Tablets Product 8,Electronics,Tablets,858.31
9,Smartphones Product 9,Electronics,Smartphones,362.71
10,Cameras Product 10,Electronics,Cameras,851.63
11,Headphones Product 11,Electronics,Headphones,497.72
12,Cameras Product 12,Electronics,Cameras,372.3
13,Cameras Product 13,Electronics,Cameras,1451.54
14,Headphones Product 14,Electronics,Headphones,1054.12
15,Smartphones Product 15,Electronics,Smartphones,723.2
16,Tablets Product 16,Electronics,Tablets,1478.21
17,Tablets Product 17,Electronics,Tablets,521.0
18,Laptops Product 18,Electronics,Laptops,1287.55
19,Tablets Product 19,Electronics,Tablets,483.6
20,Smartphones Product 20,Electronics,Smartphones,463.19
21,Tablets Product 21,Electronics,Tablets,528.44
22,Tablets Product 22,Electronics,Tablets,704.56
23,Headphones Product 23,Electronics,Headphones,1165.23
24,Tablets Product 24,Electronics,Tablets,1135.91
25,Smartphones Product 25,Electronics,Smartphones,886.44
26,Tablets Product 26,Electronics,Tablets,1374.01
27,Laptops Product 27,Electronics,Laptops,384.8
28,Laptops Product 28,Electronics,Laptops,688.73
29,Cameras Product 29,Electronics,Cameras,1747.53
30,Laptops Product 30,Electronics,Laptops,93.18
31,Cameras Product 31,Electronics,Cameras,1408.42
32,Cameras Product 32,Electronics,Cameras,278.55
33,Cameras Product 33,Electronics,Cameras,906.24
34,Laptops Product 34,Electronics,Laptops,1048.96
35,Cameras Product 35,Electronics,Cameras,814.13
36,Smartphones Product 36,Electronics,Smartphones,1373.85
37,Laptops Product 37,Electronics,Laptops,1040.22
38,Cameras Product 38,Electronics,Cameras,1564.15
39,Smartphones Product 39,Electronics,Smartphones,1721.75
40,Tablets Product 40,Electronics,Tablets,974.8
41,Cameras Product 41,Electronics,Cameras,1275.43
42,Laptops Product 42,Electronics,Laptops,543.88
43,Smartphones Product 43,Electronics,Smartphones,1476.07
44,Smartphones Product 44,Electronics,Smartphones,1094.53
45,Smartphones Product 45,Electronics,Smartphones,956.86
46,Smartphones Product 46,Electronics,Smartphones,995.93
47,Tablets Product 47,Electronics,Tablets,606.74
48,Cameras Product 48,Electronics,Cameras,407.71
49,Laptops Product 49,Electronics,Laptops,838.91
50,Tablets Product 50,Electronics,Tablets,76.07
51,Smartphones Product 51,Electronics,Smartphones,1616.9
52,Tablets Product 52,Electronics,Tablets,597.72
53,Laptops Product 53,Electronics,Laptops,180.6
54,Headphones Product 54,Electronics,Headphones,404.36
55,Headphones Product 55,Electronics,Headphones,1703.46
56,Headphones Product 56,Electronics,Headphones,1314.22
57,Cameras Product 57,Electronics,Cameras,928.43
58,Cameras Product 58,Electronics,Cameras,1617.44
